catalog_rank,common_name,scientific_name,kingdom,category,priority,planned_source,notes,inat_taxon_id,observations_count,iconic_taxon_name,wikipedia_url
27,Red Clover,Trifolium pratense,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,51875,232843,Plantae,http://en.wikipedia.org/wiki/Trifolium_pratense
28,Dark-eyed Junco,Junco hyemalis,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,10094,245709,Aves,http://en.wikipedia.org/wiki/Dark-eyed_junco
29,Northern Mockingbird,Mimus polyglottos,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,14886,237175,Aves,http://en.wikipedia.org/wiki/Northern_mockingbird
30,Grey Heron,Ardea cinerea,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,4954,248994,Aves,http://en.wikipedia.org/wiki/Grey_heron
31,garlic mustard,Alliaria petiolata,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,56061,223396,Plantae,http://en.wikipedia.org/wiki/Alliaria_petiolata
32,Bald Eagle,Haliaeetus leucocephalus,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,5305,228867,Aves,http://en.wikipedia.org/wiki/Bald_eagle
33,ground-ivy,Glechoma hederacea,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,55830,207918,Plantae,http://en.wikipedia.org/wiki/Glechoma_hederacea
34,Great Tit,Parus major,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,203153,243755,Aves,http://en.wikipedia.org/wiki/Great_tit
35,Barn Swallow,Hirundo rustica,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,11901,229206,Aves,http://en.wikipedia.org/wiki/Barn_swallow
36,Double-crested Cormorant,Nannopterum auritum,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,1454382,203759,Aves,https://en.wikipedia.org/wiki/Double-crested_cormorant
37,Eurasian Blackbird,Turdus merula,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,12716,259013,Aves,http://en.wikipedia.org/wiki/Common_blackbird
38,Eastern Cottontail,Sylvilagus floridanus,Animalia,mammal,P0,iNaturalist species_counts,iconic_taxon=Mammalia; common species by verifiable photo observations,43111,199143,Mammalia,http://en.wikipedia.org/wiki/Eastern_cottontail
39,wild carrot,Daucus carota,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,76610,200396,Plantae,http://en.wikipedia.org/wiki/Daucus_carota
40,common selfheal,Prunella vulgaris,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,52764,196397,Plantae,http://en.wikipedia.org/wiki/Prunella_vulgaris
41,Downy Woodpecker,Dryobates pubescens,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,792988,207365,Aves,http://en.wikipedia.org/wiki/Downy_woodpecker
