scientific_name,category,gbif_scientific_name,gbif_class,rank,match_type,confidence,status,usage_key,trusted,issues,error
collocalia linchi,bird,"Collocalia linchi Horsfield & F.Moore, 1854",Aves,SPECIES,EXACT,99,ACCEPTED,2477326,true,,
colobus angolensis,mammal,"Colobus angolensis Sclater, 1860",Mammalia,SPECIES,EXACT,99,ACCEPTED,5963047,true,,
colomys goslingi,mammal,"Colomys goslingi Thomas & Wroughton, 1907",Mammalia,SPECIES,EXACT,99,ACCEPTED,2439133,true,,
columba arquatrix,bird,"Columba arquatrix Temminck, 1808",Aves,SPECIES,EXACT,99,ACCEPTED,5231873,true,,
columba larvata,bird,"Columba larvata Temminck, 1809",Aves,SPECIES,EXACT,99,ACCEPTED,5231853,true,,
columbina talpacoti,bird,"Columbina talpacoti (Temminck, 1810)",Aves,SPECIES,EXACT,99,ACCEPTED,2495858,true,,
conepatus chinga,mammal,"Conepatus chinga (Molina, 1782)",Mammalia,SPECIES,EXACT,97,ACCEPTED,2434870,true,,
conepatus semistriatus,mammal,"Conepatus semistriatus (Boddaert, 1785)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2434883,true,,
connochaetes taurinus,mammal,"Connochaetes taurinus (Burchell, 1823)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2441105,true,,
copsychus albospecularis,bird,"Copsychus albospecularis (Eydoux & Gervais, 1836)",Aves,SPECIES,EXACT,99,ACCEPTED,2492681,true,,
copsychus malabaricus,bird,"Copsychus malabaricus (Scopoli, 1786)",Aves,SPECIES,EXACT,99,ACCEPTED,2492675,true,,
copsychus saularis,bird,"Copsychus saularis (Linnaeus, 1758)",Aves,SPECIES,EXACT,99,ACCEPTED,2492680,true,,
coragyps atratus,bird,"Coragyps atratus (Bechstein, 1793)",Aves,SPECIES,EXACT,99,ACCEPTED,2481942,true,,
corythaixoides leucogaster,bird,"Corythaixoides leucogaster (Ruppell, 1842)",Aves,SPECIES,EXACT,99,ACCEPTED,2475264,true,,
cospsychus albospecularis,,"Copsychus albospecularis (Eydoux & Gervais, 1836)",Aves,SPECIES,FUZZY,85,ACCEPTED,2492681,false,,
cossypha archeri,bird,"Cossypha archeri Sharpe, 1902",Aves,SPECIES,EXACT,99,ACCEPTED,2492591,true,,
coturnix delegorguei,bird,"Coturnix delegorguei Delegorgue, 1847",Aves,SPECIES,EXACT,99,ACCEPTED,2474141,true,,
coua,,,,,NONE,100,,,false,,
coua caerulea,bird,"Coua caerulea (Linnaeus, 1766)",Aves,SPECIES,EXACT,99,ACCEPTED,2496419,true,,
coua ruficeps,bird,"Coua ruficeps G.R.Gray, 1846",Aves,SPECIES,EXACT,99,ACCEPTED,2496420,true,,
coua serriana,bird,"Coua serriana Pucheran, 1845",Aves,SPECIES,EXACT,99,ACCEPTED,2496423,true,,
coua sp,,,,,NONE,100,,,false,,
crax alector,bird,"Crax alector Linnaeus, 1766",Aves,SPECIES,EXACT,99,ACCEPTED,2482173,true,,
crax rubra,bird,"Crax rubra Linnaeus, 1758",Aves,SPECIES,EXACT,99,ACCEPTED,2482168,true,,
